HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,UPDATE-Study1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3TPWUS5F8BF0V6G9KXXJV9H3DVTCWN,A16YCBEW9H2GVQ,Submitted,Mon Sep 17 08:58:53 PDT 2018,Mon Sep 17 09:24:47 PDT 2018,Mon Sep 17 15:24:47 PDT 2018,,,,1554,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3IQ1VMJRYVY1QV6378R0BUJ4FRNA9T,A1BXFL13FNC4JZ,Submitted,Mon Sep 17 08:34:27 PDT 2018,Mon Sep 17 08:41:40 PDT 2018,Mon Sep 17 14:41:40 PDT 2018,,,,433,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3IKZ72A5B6UHBOR5JYWX7WPFHWHFNA,A1CY7IOJ9YH136,Submitted,Mon Sep 17 08:34:46 PDT 2018,Mon Sep 17 08:51:47 PDT 2018,Mon Sep 17 14:51:47 PDT 2018,,,,1021,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,36H9ULYP648LSY0K4045EP8Y8CCFJ6,A1DQAWWURWP4FZ,Submitted,Mon Sep 17 08:34:44 PDT 2018,Mon Sep 17 09:06:02 PDT 2018,Mon Sep 17 15:06:02 PDT 2018,,,,1878,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3HWRJOOET7GMLNJEWJTDO8ELSUASEH,A1DS5O8MSI3ZH0,Submitted,Mon Sep 17 08:34:49 PDT 2018,Mon Sep 17 08:54:46 PDT 2018,Mon Sep 17 14:54:46 PDT 2018,,,,1197,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3H8DHMCCWBPJ5YS6VF9RR45QBPWKD1,A1KEAHVVML6319,Submitted,Mon Sep 17 11:55:43 PDT 2018,Mon Sep 17 12:15:40 PDT 2018,Mon Sep 17 18:15:40 PDT 2018,,,,1197,0% (0/0),0% (0/0),0% (0/0),1.53721E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3SLE99ER0PRLFWT8HKLVJT53CC0BZ8,A1KNQOTRLV1DLV,Submitted,Mon Sep 17 09:17:46 PDT 2018,Mon Sep 17 09:31:35 PDT 2018,Mon Sep 17 15:31:35 PDT 2018,,,,829,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3BXQMRHWK1C0CO3V2MCWGH1IMTMMUG,A1L82EA5PNL5RO,Submitted,Mon Sep 17 08:43:33 PDT 2018,Mon Sep 17 09:12:35 PDT 2018,Mon Sep 17 15:12:35 PDT 2018,,,,1742,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3GGAI1SQEXC4QUMVGVRWMBFCFTFCMW,A1XATJA7ENOGWB,Submitted,Mon Sep 17 08:34:28 PDT 2018,Mon Sep 17 08:47:40 PDT 2018,Mon Sep 17 14:47:40 PDT 2018,,,,792,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3LWJHTCVCE02EL4XZQOEBQKKM74FQX,A206HSNUW6LHQK,Submitted,Mon Sep 17 08:49:25 PDT 2018,Mon Sep 17 08:55:27 PDT 2018,Mon Sep 17 14:55:27 PDT 2018,,,,362,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3ZAZR5XV03W4P1LEVKHQUDBLUXXCZD,A20Z5O57UDPFLX,Submitted,Mon Sep 17 08:34:46 PDT 2018,Mon Sep 17 09:02:57 PDT 2018,Mon Sep 17 15:02:57 PDT 2018,,,,1691,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3RWE2M8QWJOQEKCFGGDC4P2BBUSN0E,A23CR631VMJ5DI,Submitted,Mon Sep 17 09:29:55 PDT 2018,Mon Sep 17 09:36:44 PDT 2018,Mon Sep 17 15:36:44 PDT 2018,,,,409,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,30H4UDGLT4WNKJVZL0D26BEJECUPMN,A25FLQSIB09JW2,Submitted,Mon Sep 17 08:35:19 PDT 2018,Mon Sep 17 09:03:41 PDT 2018,Mon Sep 17 15:03:41 PDT 2018,,,,1702,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,37M28K1J0SRQW7JCTKID0OX7BWZAJO,A2C84POENS2UNY,Submitted,Mon Sep 17 08:34:44 PDT 2018,Mon Sep 17 08:46:35 PDT 2018,Mon Sep 17 14:46:35 PDT 2018,,,,711,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3S4AW7T80DWHP8RVN4KZ30OZNB8L4Q,A2FUPODRRCESB,Submitted,Mon Sep 17 09:11:42 PDT 2018,Mon Sep 17 09:22:51 PDT 2018,Mon Sep 17 15:22:51 PDT 2018,,,,669,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3DOCMVPBTPSTZG4MHMFAF1YOJN3NNP,A2G4G3QXFP4WSZ,Submitted,Mon Sep 17 08:35:40 PDT 2018,Mon Sep 17 08:43:50 PDT 2018,Mon Sep 17 14:43:50 PDT 2018,,,,490,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
3QX22DUVOPVX3JU2HAHZOJ7GWCWMVF,3LVDE0XV5Z9KH8O3PED22UW15F1PLK,Personalized College Ranker,Create a college ranking using our custom tool. BONUS $0.25 for high quality rankings which reflect your personal preferences entered by selecting colleges. There is also a short survey about your experience. Google Chrome is required for this HIT.,"survey, usability, user experience, college, ranking",$1.00 ,Mon Sep 17 08:34:07 PDT 2018,35,BatchId:3373805;OriginalHitTemplateId:920937340;,2700,21600,Thu Sep 20 08:34:07 PDT 2018,,,3FDJT1UU76MO1LDDG9R8TSHYY7YK5R,A2JLTIRIJ1V8UP,Submitted,Mon Sep 17 09:03:54 PDT 2018,Mon Sep 17 09:12:59 PDT 2018,Mon Sep 17 15:12:59 PDT 2018,,,,545,0% (0/0),0% (0/0),0% (0/0),1.5372E+12,x,,1
